name,start_time,end_time,activity_time,finished,replication
reset_234_GP0,0,0,0,TRUE,1
reset_234_Nurse0,0,0,0,TRUE,1
reset_234_Pediatrician0,0,0,0,TRUE,1
reset_235_GP0,0,0,0,TRUE,1
reset_235_Nurse0,0,0,0,TRUE,1
reset_235_Pediatrician0,0,0,0,TRUE,1
reset_236_GP0,0,0,0,TRUE,1
reset_236_Nurse0,0,0,0,TRUE,1
reset_236_Pediatrician0,0,0,0,TRUE,1
reset_237_GP0,0,0,0,TRUE,1
reset_237_Nurse0,0,0,0,TRUE,1
reset_238_GP0,0,0,0,TRUE,1
reset_238_Nurse0,0,0,0,TRUE,1
reset_238_Pediatrician0,0,0,0,TRUE,1
reset_239_GP0,0,0,0,TRUE,1
reset_239_Nurse0,0,0,0,TRUE,1
reset_239_Pediatrician0,0,0,0,TRUE,1
reset_266_GP0,0,0,0,TRUE,1
reset_266_Nurse0,0,0,0,TRUE,1
reset_269_GP0,0,0,0,TRUE,1
reset_269_Nurse0,0,0,0,TRUE,1
reset_269_Pediatrician0,0,0,0,TRUE,1
reset_271_GP0,0,0,0,TRUE,1
reset_271_Nurse0,0,0,0,TRUE,1
reset_271_Pediatrician0,0,0,0,TRUE,1
reset_279_GP0,0,0,0,TRUE,1
reset_279_Nurse0,0,0,0,TRUE,1
reset_159_GP0,0,0,0,TRUE,1
reset_159_Nurse0,0,0,0,TRUE,1
reset_159_Pediatrician0,0,0,0,TRUE,1
reset_160_GP0,0,0,0,TRUE,1
reset_160_Nurse0,0,0,0,TRUE,1
reset_160_Pediatrician0,0,0,0,TRUE,1
reset_162_GP0,0,0,0,TRUE,1
reset_162_Nurse0,0,0,0,TRUE,1
reset_162_Pediatrician0,0,0,0,TRUE,1
reset_163_GP0,0,0,0,TRUE,1
reset_164_GP0,0,0,0,TRUE,1
reset_165_GP0,0,0,0,TRUE,1
reset_165_Nurse0,0,0,0,TRUE,1
reset_165_Pediatrician0,0,0,0,TRUE,1
reset_166_GP0,0,0,0,TRUE,1
reset_167_GP0,0,0,0,TRUE,1
reset_167_Nurse0,0,0,0,TRUE,1
reset_167_Pediatrician0,0,0,0,TRUE,1
reset_168_GP0,0,0,0,TRUE,1
reset_168_Nurse0,0,0,0,TRUE,1
reset_169_GP0,0,0,0,TRUE,1
reset_169_Nurse0,0,0,0,TRUE,1
reset_170_GP0,0,0,0,TRUE,1
reset_170_Nurse0,0,0,0,TRUE,1
reset_170_Pediatrician0,0,0,0,TRUE,1
reset_171_GP0,0,0,0,TRUE,1
reset_171_Nurse0,0,0,0,TRUE,1
reset_171_Pediatrician0,0,0,0,TRUE,1
reset_172_GP0,0,0,0,TRUE,1
reset_172_Nurse0,0,0,0,TRUE,1
reset_172_Pediatrician0,0,0,0,TRUE,1
reset_173_GP0,0,0,0,TRUE,1
reset_173_Nurse0,0,0,0,TRUE,1
reset_174_GP0,0,0,0,TRUE,1
reset_174_Nurse0,0,0,0,TRUE,1
reset_174_Pediatrician0,0,0,0,TRUE,1
reset_175_GP0,0,0,0,TRUE,1
reset_175_Nurse0,0,0,0,TRUE,1
reset_175_Pediatrician0,0,0,0,TRUE,1
reset_179_GP0,0,0,0,TRUE,1
reset_191_GP0,0,0,0,TRUE,1
reset_194_GP0,0,0,0,TRUE,1
reset_194_Nurse0,0,0,0,TRUE,1
reset_195_GP0,0,0,0,TRUE,1
reset_195_Nurse0,0,0,0,TRUE,1
reset_233_GP0,0,0,0,TRUE,1
reset_233_Pediatrician0,0,0,0,TRUE,1
reset_240_GP0,0,0,0,TRUE,1
reset_241_GP0,0,0,0,TRUE,1
reset_241_Nurse0,0,0,0,TRUE,1
reset_242_GP0,0,0,0,TRUE,1
reset_242_Nurse0,0,0,0,TRUE,1
reset_243_GP0,0,0,0,TRUE,1
reset_243_Nurse0,0,0,0,TRUE,1
reset_244_GP0,0,0,0,TRUE,1
reset_244_Nurse0,0,0,0,TRUE,1
reset_244_Pediatrician0,0,0,0,TRUE,1
reset_245_GP0,0,0,0,TRUE,1
reset_245_Nurse0,0,0,0,TRUE,1
reset_246_GP0,0,0,0,TRUE,1
reset_246_Nurse0,0,0,0,TRUE,1
reset_246_Pediatrician0,0,0,0,TRUE,1
reset_247_GP0,0,0,0,TRUE,1
reset_247_Nurse0,0,0,0,TRUE,1
reset_248_GP0,0,0,0,TRUE,1
reset_248_Nurse0,0,0,0,TRUE,1
reset_249_GP0,0,0,0,TRUE,1
reset_249_Nurse0,0,0,0,TRUE,1
reset_250_GP0,0,0,0,TRUE,1
reset_250_Nurse0,0,0,0,TRUE,1
reset_250_Pediatrician0,0,0,0,TRUE,1
reset_251_GP0,0,0,0,TRUE,1
reset_251_Nurse0,0,0,0,TRUE,1
reset_252_GP0,0,0,0,TRUE,1
reset_252_Nurse0,0,0,0,TRUE,1
reset_252_Pediatrician0,0,0,0,TRUE,1
reset_261_GP0,0,0,0,TRUE,1
reset_261_Nurse0,0,0,0,TRUE,1
reset_276_GP0,0,0,0,TRUE,1
reset_276_Nurse0,0,0,0,TRUE,1
reset_276_Pediatrician0,0,0,0,TRUE,1
reset_277_GP0,0,0,0,TRUE,1
reset_277_Nurse0,0,0,0,TRUE,1
reset_277_Pediatrician0,0,0,0,TRUE,1
reset_278_GP0,0,0,0,TRUE,1
reset_278_Nurse0,0,0,0,TRUE,1
reset_278_Pediatrician0,0,0,0,TRUE,1
reset_139_GP0,0,0,0,TRUE,1
reset_139_Nurse0,0,0,0,TRUE,1
reset_139_Pediatrician0,0,0,0,TRUE,1
reset_140_GP0,0,0,0,TRUE,1
reset_140_Nurse0,0,0,0,TRUE,1
reset_140_Pediatrician0,0,0,0,TRUE,1
reset_141_GP0,0,0,0,TRUE,1
reset_141_Nurse0,0,0,0,TRUE,1
reset_141_Pediatrician0,0,0,0,TRUE,1
reset_142_GP0,0,0,0,TRUE,1
reset_142_Nurse0,0,0,0,TRUE,1
reset_142_Pediatrician0,0,0,0,TRUE,1
reset_143_GP0,0,0,0,TRUE,1
reset_143_Nurse0,0,0,0,TRUE,1
reset_143_Pediatrician0,0,0,0,TRUE,1
reset_144_GP0,0,0,0,TRUE,1
reset_144_Nurse0,0,0,0,TRUE,1
reset_144_Pediatrician0,0,0,0,TRUE,1
reset_145_GP0,0,0,0,TRUE,1
reset_145_Nurse0,0,0,0,TRUE,1
reset_145_Pediatrician0,0,0,0,TRUE,1
reset_146_GP0,0,0,0,TRUE,1
reset_146_Nurse0,0,0,0,TRUE,1
reset_146_Pediatrician0,0,0,0,TRUE,1
reset_147_GP0,0,0,0,TRUE,1
reset_147_Nurse0,0,0,0,TRUE,1
reset_147_Pediatrician0,0,0,0,TRUE,1
reset_148_GP0,0,0,0,TRUE,1
reset_148_Nurse0,0,0,0,TRUE,1
reset_149_GP0,0,0,0,TRUE,1
reset_149_Nurse0,0,0,0,TRUE,1
reset_149_Pediatrician0,0,0,0,TRUE,1
reset_157_GP0,0,0,0,TRUE,1
reset_157_Nurse0,0,0,0,TRUE,1
reset_157_Pediatrician0,0,0,0,TRUE,1
reset_158_GP0,0,0,0,TRUE,1
reset_158_Nurse0,0,0,0,TRUE,1
reset_272_GP0,0,0,0,TRUE,1
reset_272_Nurse0,0,0,0,TRUE,1
reset_272_Pediatrician0,0,0,0,TRUE,1
reset_5_GP0,0,0,0,TRUE,1
reset_5_Nurse0,0,0,0,TRUE,1
reset_5_Pediatrician0,0,0,0,TRUE,1
reset_8_GP0,0,0,0,TRUE,1
reset_8_Nurse0,0,0,0,TRUE,1
reset_8_Pediatrician0,0,0,0,TRUE,1
reset_9_GP0,0,0,0,TRUE,1
reset_9_Nurse0,0,0,0,TRUE,1
reset_9_Pediatrician0,0,0,0,TRUE,1
reset_10_GP0,0,0,0,TRUE,1
reset_10_Nurse0,0,0,0,TRUE,1
reset_10_Pediatrician0,0,0,0,TRUE,1
reset_28_GP0,0,0,0,TRUE,1
reset_28_Nurse0,0,0,0,TRUE,1
reset_28_Pediatrician0,0,0,0,TRUE,1
reset_32_GP0,0,0,0,TRUE,1
reset_32_Nurse0,0,0,0,TRUE,1
reset_32_Pediatrician0,0,0,0,TRUE,1
reset_35_GP0,0,0,0,TRUE,1
reset_35_Nurse0,0,0,0,TRUE,1
reset_35_Pediatrician0,0,0,0,TRUE,1
reset_38_GP0,0,0,0,TRUE,1
reset_38_Nurse0,0,0,0,TRUE,1
reset_38_Pediatrician0,0,0,0,TRUE,1
reset_40_GP0,0,0,0,TRUE,1
reset_40_Nurse0,0,0,0,TRUE,1
reset_40_Pediatrician0,0,0,0,TRUE,1
reset_53_GP0,0,0,0,TRUE,1
reset_53_Nurse0,0,0,0,TRUE,1
reset_66_GP0,0,0,0,TRUE,1
reset_66_Nurse0,0,0,0,TRUE,1
reset_66_Pediatrician0,0,0,0,TRUE,1
reset_68_GP0,0,0,0,TRUE,1
reset_68_Nurse0,0,0,0,TRUE,1
reset_68_Pediatrician0,0,0,0,TRUE,1
reset_81_GP0,0,0,0,TRUE,1
reset_81_Nurse0,0,0,0,TRUE,1
reset_81_Pediatrician0,0,0,0,TRUE,1
reset_86_GP0,0,0,0,TRUE,1
reset_86_Nurse0,0,0,0,TRUE,1
reset_86_Pediatrician0,0,0,0,TRUE,1
reset_94_GP0,0,0,0,TRUE,1
reset_94_Nurse0,0,0,0,TRUE,1
reset_94_Pediatrician0,0,0,0,TRUE,1
reset_187_GP0,0,0,0,TRUE,1
reset_187_Nurse0,0,0,0,TRUE,1
reset_187_Pediatrician0,0,0,0,TRUE,1
reset_196_GP0,0,0,0,TRUE,1
reset_196_Nurse0,0,0,0,TRUE,1
reset_196_Pediatrician0,0,0,0,TRUE,1
reset_197_GP0,0,0,0,TRUE,1
reset_197_Nurse0,0,0,0,TRUE,1
reset_208_GP0,0,0,0,TRUE,1
reset_208_Nurse0,0,0,0,TRUE,1
reset_208_Pediatrician0,0,0,0,TRUE,1
reset_213_GP0,0,0,0,TRUE,1
reset_213_Nurse0,0,0,0,TRUE,1
reset_213_Pediatrician0,0,0,0,TRUE,1
reset_229_GP0,0,0,0,TRUE,1
reset_229_Nurse0,0,0,0,TRUE,1
reset_230_GP0,0,0,0,TRUE,1
reset_230_Nurse0,0,0,0,TRUE,1
reset_255_GP0,0,0,0,TRUE,1
reset_255_Nurse0,0,0,0,TRUE,1
reset_256_GP0,0,0,0,TRUE,1
reset_256_Nurse0,0,0,0,TRUE,1
reset_257_GP0,0,0,0,TRUE,1
reset_257_Nurse0,0,0,0,TRUE,1
reset_257_Pediatrician0,0,0,0,TRUE,1
reset_258_GP0,0,0,0,TRUE,1
reset_258_Nurse0,0,0,0,TRUE,1
reset_258_Pediatrician0,0,0,0,TRUE,1
reset_263_GP0,0,0,0,TRUE,1
reset_263_Nurse0,0,0,0,TRUE,1
reset_273_GP0,0,0,0,TRUE,1
reset_273_Nurse0,0,0,0,TRUE,1
reset_273_Pediatrician0,0,0,0,TRUE,1
reset_274_GP0,0,0,0,TRUE,1
reset_274_Nurse0,0,0,0,TRUE,1
reset_274_Pediatrician0,0,0,0,TRUE,1
reset_2_GP0,0,0,0,TRUE,1
reset_2_Nurse0,0,0,0,TRUE,1
reset_2_Pediatrician0,0,0,0,TRUE,1
reset_4_GP0,0,0,0,TRUE,1
reset_4_Nurse0,0,0,0,TRUE,1
reset_4_Pediatrician0,0,0,0,TRUE,1
reset_15_GP0,0,0,0,TRUE,1
reset_15_Nurse0,0,0,0,TRUE,1
reset_15_Pediatrician0,0,0,0,TRUE,1
reset_20_GP0,0,0,0,TRUE,1
reset_20_Nurse0,0,0,0,TRUE,1
reset_20_Pediatrician0,0,0,0,TRUE,1
reset_21_GP0,0,0,0,TRUE,1
reset_21_Nurse0,0,0,0,TRUE,1
reset_21_Pediatrician0,0,0,0,TRUE,1
reset_23_GP0,0,0,0,TRUE,1
reset_23_Nurse0,0,0,0,TRUE,1
reset_23_Pediatrician0,0,0,0,TRUE,1
reset_24_GP0,0,0,0,TRUE,1
reset_24_Nurse0,0,0,0,TRUE,1
reset_24_Pediatrician0,0,0,0,TRUE,1
reset_30_GP0,0,0,0,TRUE,1
reset_30_Nurse0,0,0,0,TRUE,1
reset_30_Pediatrician0,0,0,0,TRUE,1
reset_33_GP0,0,0,0,TRUE,1
reset_33_Nurse0,0,0,0,TRUE,1
reset_33_Pediatrician0,0,0,0,TRUE,1
reset_34_GP0,0,0,0,TRUE,1
reset_34_Nurse0,0,0,0,TRUE,1
reset_34_Pediatrician0,0,0,0,TRUE,1
reset_36_GP0,0,0,0,TRUE,1
reset_36_Nurse0,0,0,0,TRUE,1
reset_36_Pediatrician0,0,0,0,TRUE,1
reset_44_GP0,0,0,0,TRUE,1
reset_44_Nurse0,0,0,0,TRUE,1
reset_44_Pediatrician0,0,0,0,TRUE,1
reset_45_GP0,0,0,0,TRUE,1
reset_45_Nurse0,0,0,0,TRUE,1
reset_45_Pediatrician0,0,0,0,TRUE,1
reset_48_GP0,0,0,0,TRUE,1
reset_48_Nurse0,0,0,0,TRUE,1
reset_48_Pediatrician0,0,0,0,TRUE,1
reset_49_GP0,0,0,0,TRUE,1
reset_49_Nurse0,0,0,0,TRUE,1
reset_49_Pediatrician0,0,0,0,TRUE,1
reset_51_GP0,0,0,0,TRUE,1
reset_51_Nurse0,0,0,0,TRUE,1
reset_51_Pediatrician0,0,0,0,TRUE,1
reset_57_GP0,0,0,0,TRUE,1
reset_57_Nurse0,0,0,0,TRUE,1
reset_57_Pediatrician0,0,0,0,TRUE,1
reset_59_GP0,0,0,0,TRUE,1
reset_59_Nurse0,0,0,0,TRUE,1
reset_60_GP0,0,0,0,TRUE,1
reset_60_Nurse0,0,0,0,TRUE,1
reset_65_GP0,0,0,0,TRUE,1
reset_65_Nurse0,0,0,0,TRUE,1
reset_65_Pediatrician0,0,0,0,TRUE,1
reset_67_GP0,0,0,0,TRUE,1
reset_67_Nurse0,0,0,0,TRUE,1
reset_67_Pediatrician0,0,0,0,TRUE,1
reset_70_GP0,0,0,0,TRUE,1
reset_70_Nurse0,0,0,0,TRUE,1
reset_76_GP0,0,0,0,TRUE,1
reset_76_Nurse0,0,0,0,TRUE,1
reset_76_Pediatrician0,0,0,0,TRUE,1
reset_77_GP0,0,0,0,TRUE,1
reset_77_Nurse0,0,0,0,TRUE,1
reset_77_Pediatrician0,0,0,0,TRUE,1
reset_79_GP0,0,0,0,TRUE,1
reset_79_Nurse0,0,0,0,TRUE,1
reset_79_Pediatrician0,0,0,0,TRUE,1
reset_82_GP0,0,0,0,TRUE,1
reset_82_Nurse0,0,0,0,TRUE,1
reset_82_Pediatrician0,0,0,0,TRUE,1
reset_85_GP0,0,0,0,TRUE,1
reset_85_Nurse0,0,0,0,TRUE,1
reset_85_Pediatrician0,0,0,0,TRUE,1
reset_90_GP0,0,0,0,TRUE,1
reset_90_Nurse0,0,0,0,TRUE,1
reset_90_Pediatrician0,0,0,0,TRUE,1
reset_93_GP0,0,0,0,TRUE,1
reset_93_Nurse0,0,0,0,TRUE,1
reset_182_GP0,0,0,0,TRUE,1
reset_182_Nurse0,0,0,0,TRUE,1
reset_184_GP0,0,0,0,TRUE,1
reset_184_Nurse0,0,0,0,TRUE,1
reset_184_Pediatrician0,0,0,0,TRUE,1
reset_185_GP0,0,0,0,TRUE,1
reset_185_Nurse0,0,0,0,TRUE,1
reset_185_Pediatrician0,0,0,0,TRUE,1
reset_186_GP0,0,0,0,TRUE,1
reset_186_Nurse0,0,0,0,TRUE,1
reset_186_Pediatrician0,0,0,0,TRUE,1
reset_192_GP0,0,0,0,TRUE,1
reset_192_Nurse0,0,0,0,TRUE,1
reset_199_GP0,0,0,0,TRUE,1
reset_199_Nurse0,0,0,0,TRUE,1
reset_199_Pediatrician0,0,0,0,TRUE,1
reset_205_GP0,0,0,0,TRUE,1
reset_205_Nurse0,0,0,0,TRUE,1
reset_212_GP0,0,0,0,TRUE,1
reset_212_Nurse0,0,0,0,TRUE,1
reset_216_GP0,0,0,0,TRUE,1
reset_216_Nurse0,0,0,0,TRUE,1
reset_216_Pediatrician0,0,0,0,TRUE,1
reset_219_GP0,0,0,0,TRUE,1
reset_219_Nurse0,0,0,0,TRUE,1
reset_219_Pediatrician0,0,0,0,TRUE,1
reset_220_GP0,0,0,0,TRUE,1
reset_220_Nurse0,0,0,0,TRUE,1
reset_220_Pediatrician0,0,0,0,TRUE,1
reset_221_GP0,0,0,0,TRUE,1
reset_221_Nurse0,0,0,0,TRUE,1
reset_221_Pediatrician0,0,0,0,TRUE,1
reset_226_GP0,0,0,0,TRUE,1
reset_226_Nurse0,0,0,0,TRUE,1
reset_226_Pediatrician0,0,0,0,TRUE,1
reset_227_GP0,0,0,0,TRUE,1
reset_227_Nurse0,0,0,0,TRUE,1
reset_227_Pediatrician0,0,0,0,TRUE,1
reset_228_GP0,0,0,0,TRUE,1
reset_228_Nurse0,0,0,0,TRUE,1
reset_228_Pediatrician0,0,0,0,TRUE,1
reset_232_GP0,0,0,0,TRUE,1
reset_232_Nurse0,0,0,0,TRUE,1
reset_232_Pediatrician0,0,0,0,TRUE,1
reset_7_GP0,0,0,0,TRUE,1
reset_7_Nurse0,0,0,0,TRUE,1
reset_7_Pediatrician0,0,0,0,TRUE,1
reset_12_GP0,0,0,0,TRUE,1
reset_12_Nurse0,0,0,0,TRUE,1
reset_12_Pediatrician0,0,0,0,TRUE,1
reset_14_GP0,0,0,0,TRUE,1
reset_14_Nurse0,0,0,0,TRUE,1
reset_14_Pediatrician0,0,0,0,TRUE,1
reset_16_GP0,0,0,0,TRUE,1
reset_16_Nurse0,0,0,0,TRUE,1
reset_16_Pediatrician0,0,0,0,TRUE,1
reset_17_GP0,0,0,0,TRUE,1
reset_17_Nurse0,0,0,0,TRUE,1
reset_17_Pediatrician0,0,0,0,TRUE,1
reset_29_GP0,0,0,0,TRUE,1
reset_29_Nurse0,0,0,0,TRUE,1
reset_29_Pediatrician0,0,0,0,TRUE,1
reset_43_GP0,0,0,0,TRUE,1
reset_43_Nurse0,0,0,0,TRUE,1
reset_46_GP0,0,0,0,TRUE,1
reset_46_Nurse0,0,0,0,TRUE,1
reset_47_GP0,0,0,0,TRUE,1
reset_47_Nurse0,0,0,0,TRUE,1
reset_47_Pediatrician0,0,0,0,TRUE,1
reset_54_GP0,0,0,0,TRUE,1
reset_54_Nurse0,0,0,0,TRUE,1
reset_55_GP0,0,0,0,TRUE,1
reset_55_Nurse0,0,0,0,TRUE,1
reset_56_GP0,0,0,0,TRUE,1
reset_56_Nurse0,0,0,0,TRUE,1
reset_62_GP0,0,0,0,TRUE,1
reset_62_Nurse0,0,0,0,TRUE,1
reset_71_GP0,0,0,0,TRUE,1
reset_71_Nurse0,0,0,0,TRUE,1
reset_84_GP0,0,0,0,TRUE,1
reset_84_Nurse0,0,0,0,TRUE,1
reset_89_GP0,0,0,0,TRUE,1
reset_89_Nurse0,0,0,0,TRUE,1
reset_181_GP0,0,0,0,TRUE,1
reset_181_Nurse0,0,0,0,TRUE,1
reset_183_GP0,0,0,0,TRUE,1
reset_183_Nurse0,0,0,0,TRUE,1
reset_200_GP0,0,0,0,TRUE,1
reset_200_Nurse0,0,0,0,TRUE,1
reset_201_GP0,0,0,0,TRUE,1
reset_201_Nurse0,0,0,0,TRUE,1
reset_203_GP0,0,0,0,TRUE,1
