year,area,age_group,sex,population
2021, Noroeste,45-49,1,2702
2021, Noroeste,50-54,1,2686
2021, Noroeste,55-59,1,2607
2021, Noroeste,60-64,1,2420
2021, Noroeste,65-69,1,1733
2021, Noroeste,70-74,1,1598
2021, Noroeste,75-79,1,1458
2021, Noroeste,80-84,1,1140
2021, Noroeste,85-89,1,924
2021, Noroeste,90-94,1,480
2021, Noroeste,95+,1,92
2021,Altiplano,0-4,0,1349
2021,Altiplano,5-9,0,1739
2021,Altiplano,10-14,0,1954
2021,Altiplano,15-19,0,1921
2021,Altiplano,20-24,0,1923
2021,Altiplano,25-29,0,2020
2021,Altiplano,30-34,0,2047
2021,Altiplano,35-39,0,2213
2021,Altiplano,40-44,0,2943
2021,Altiplano,45-49,0,2820
2021,Altiplano,50-54,0,2440
2021,Altiplano,55-59,0,2182
2021,Altiplano,60-64,0,1921
2021,Altiplano,65-69,0,1351
2021,Altiplano,70-74,0,1108
2021,Altiplano,75-79,0,792
2021,Altiplano,80-84,0,484
2021,Altiplano,85-89,0,374
2021,Altiplano,90-94,0,165
2021,Altiplano,95+,0,33
2021,Altiplano,0-4,1,1355
2021,Altiplano,5-9,1,1581
2021,Altiplano,10-14,1,1866
2021,Altiplano,15-19,1,1822
2021,Altiplano,20-24,1,1835
2021,Altiplano,25-29,1,1709
2021,Altiplano,30-34,1,1695
2021,Altiplano,35-39,1,2042
2021,Altiplano,40-44,1,2513
2021,Altiplano,45-49,1,2497
2021,Altiplano,50-54,1,2114
2021,Altiplano,55-59,1,2082
2021,Altiplano,60-64,1,1867
2021,Altiplano,65-69,1,1379
2021,Altiplano,70-74,1,1217
2021,Altiplano,75-79,1,922
2021,Altiplano,80-84,1,668
2021,Altiplano,85-89,1,608
2021,Altiplano,90-94,1,301
2021,Altiplano,95+,1,83
2021, Vega Media del Segura,0-4,0,5979
2021, Vega Media del Segura,5-9,0,7514
2021, Vega Media del Segura,10-14,0,8443
2021, Vega Media del Segura,15-19,0,8138
2021, Vega Media del Segura,20-24,0,7355
2021, Vega Media del Segura,25-29,0,7588
2021, Vega Media del Segura,30-34,0,8225
2021, Vega Media del Segura,35-39,0,9233
2021, Vega Media del Segura,40-44,0,11978
2021, Vega Media del Segura,45-49,0,11830
2021, Vega Media del Segura,50-54,0,10863
2021, Vega Media del Segura,55-59,0,9010
2021, Vega Media del Segura,60-64,0,7324
2021, Vega Media del Segura,65-69,0,5243
2021, Vega Media del Segura,70-74,0,4345
2021, Vega Media del Segura,75-79,0,3328
2021, Vega Media del Segura,80-84,0,2287
2021, Vega Media del Segura,85-89,0,1544
2021, Vega Media del Segura,90-94,0,613
2021, Vega Media del Segura,95+,0,111
2021, Vega Media del Segura,0-4,1,5707
2021, Vega Media del Segura,5-9,1,7004
2021, Vega Media del Segura,10-14,1,7957
2021, Vega Media del Segura,15-19,1,7484
2021, Vega Media del Segura,20-24,1,7102
2021, Vega Media del Segura,25-29,1,7451
2021, Vega Media del Segura,30-34,1,8407
2021, Vega Media del Segura,35-39,1,9702
2021, Vega Media del Segura,40-44,1,11252
2021, Vega Media del Segura,45-49,1,11290
2021, Vega Media del Segura,50-54,1,10511
2021, Vega Media del Segura,55-59,1,9246
2021, Vega Media del Segura,60-64,1,7694
2021, Vega Media del Segura,65-69,1,5805
2021, Vega Media del Segura,70-74,1,5263
2021, Vega Media del Segura,75-79,1,4251
2021, Vega Media del Segura,80-84,1,3205
2021, Vega Media del Segura,85-89,1,2591
2021, Vega Media del Segura,90-94,1,1189
2021, Vega Media del Segura,95+,1,343
2021,: Murcia Este,0-4,0,4673
2021,: Murcia Este,5-9,0,5658
2021,: Murcia Este,10-14,0,6417
2021,: Murcia Este,15-19,0,6051
2021,: Murcia Este,20-24,0,5891
2021,: Murcia Este,25-29,0,6113
2021,: Murcia Este,30-34,0,6633
2021,: Murcia Este,35-39,0,7275
2021,: Murcia Este,40-44,0,9507
2021,: Murcia Este,45-49,0,9282
2021,: Murcia Este,50-54,0,8399
2021,: Murcia Este,55-59,0,7248
2021,: Murcia Este,60-64,0,5639
2021,: Murcia Este,65-69,0,4034
2021,: Murcia Este,70-74,0,3230
2021,: Murcia Este,75-79,0,2364
2021,: Murcia Este,80-84,0,1792
2021,: Murcia Este,85-89,0,1102
2021,: Murcia Este,90-94,0,466
2021,: Murcia Este,95+,0,89
2021,: Murcia Este,0-4,1,4291
2021,: Murcia Este,5-9,1,5410
2021,: Murcia Este,10-14,1,5995
2021,: Murcia Este,15-19,1,5745
2021,: Murcia Este,20-24,1,5587
2021,: Murcia Este,25-29,1,5981
2021,: Murcia Este,30-34,1,6561
2021,: Murcia Este,35-39,1,7311
2021,: Murcia Este,40-44,1,8886
2021,: Murcia Este,45-49,1,8759
2021,: Murcia Este,50-54,1,8134
2021,: Murcia Este,55-59,1,7196
2021,: Murcia Este,60-64,1,6132
2021,: Murcia Este,65-69,1,4749
2021,: Murcia Este,70-74,1,3861
2021,: Murcia Este,75-79,1,3204
2021,: Murcia Este,80-84,1,2694
2021,: Murcia Este,85-89,1,1982
2021,: Murcia Este,90-94,1,909
2021,: Murcia Este,95+,1,224
2021,I: Mar Menor,0-4,0,2851
2021,I: Mar Menor,5-9,0,3733
2021,I: Mar Menor,10-14,0,4066
2021,I: Mar Menor,15-19,0,3750
2021,I: Mar Menor,20-24,0,3449
2021,I: Mar Menor,25-29,0,3201
2021,I: Mar Menor,30-34,0,3494
2021,I: Mar Menor,35-39,0,4190
2021,I: Mar Menor,40-44,0,5558
