area,center_id,professional_type,total_hours,total_area_hours,weight
Altiplano,22,GP,403.17016187926856,1011.8908722374159,0.3984324524914524
Altiplano,22,Nurse,535.2228687731858,1172.5492192717936,0.4564608973136186
Altiplano,22,Pediatrician,92.99188906331763,223.20617477760334,0.4166188016795336
Altiplano,41,GP,286,1011.8908722374159,0.2826391736962886
Altiplano,41,Nurse,322.5,1172.5492192717936,0.27504175918541585
Altiplano,41,Pediatrician,79.5,223.20617477760334,0.3561729422548981
Altiplano,42,GP,227.85714285714286,1011.8908722374159,0.22517956146132886
Altiplano,42,Nurse,255.35714285714292,1172.5492192717936,0.21777946602167483
Altiplano,42,Pediatrician,50.714285714285715,223.20617477760334,0.2272082560655684
Altiplano,52,GP,23.715891875251096,1011.8908722374159,0.0234372030877325
Altiplano,52,Nurse,29.734603820732534,1172.5492192717936,0.025358938739645467
Altiplano,72,GP,47.43178375050219,1011.8908722374159,0.046874406175465
Altiplano,180,GP,23.715891875251096,1011.8908722374159,0.0234372030877325
Altiplano,180,Nurse,29.734603820732534,1172.5492192717936,0.025358938739645467
Cartagena,95,GP,308.3065943782642,4932.905510052229,0.06249999999999998
Cartagena,95,Nurse,416.2844534902556,6809.224274947746,0.061135371179039354
Cartagena,95,Pediatrician,46.495944531658814,1394.8783359497647,0.033333333333333326
Cartagena,96,GP,355.7383781287664,4932.905510052229,0.07211538461538458
Cartagena,96,Nurse,446.01905731098816,6809.224274947746,0.06550218340611359
Cartagena,96,Pediatrician,92.99188906331763,1394.8783359497647,0.06666666666666665
Cartagena,97,GP,23.715891875251096,4932.905510052229,0.004807692307692306
Cartagena,97,Nurse,59.46920764146507,6809.224274947746,0.008733624454148476
Cartagena,98,GP,23.715891875251096,4932.905510052229,0.004807692307692306
Cartagena,98,Nurse,29.734603820732534,6809.224274947746,0.004366812227074238
Cartagena,99,GP,355.7383781287664,4932.905510052229,0.07211538461538458
Cartagena,99,Nurse,446.01905731098816,6809.224274947746,0.06550218340611359
Cartagena,99,Pediatrician,92.99188906331763,1394.8783359497647,0.06666666666666665
Cartagena,102,GP,71.1476756257533,4932.905510052229,0.01442307692307692
Cartagena,102,Nurse,118.93841528293014,6809.224274947746,0.017467248908296953
Cartagena,102,Pediatrician,23.247972265829407,1394.8783359497647,0.016666666666666663
Cartagena,103,GP,71.1476756257533,4932.905510052229,0.01442307692307692
Cartagena,103,Nurse,118.93841528293014,6809.224274947746,0.017467248908296953
Cartagena,103,Pediatrician,23.247972265829407,1394.8783359497647,0.016666666666666663
Cartagena,105,GP,23.715891875251096,4932.905510052229,0.004807692307692306
Cartagena,105,Nurse,29.734603820732534,6809.224274947746,0.004366812227074238
Cartagena,106,GP,23.715891875251096,4932.905510052229,0.004807692307692306
Cartagena,106,Nurse,29.734603820732534,6809.224274947746,0.004366812227074238
Cartagena,107,GP,23.715891875251096,4932.905510052229,0.004807692307692306
Cartagena,107,Nurse,29.734603820732534,6809.224274947746,0.004366812227074238
Cartagena,108,GP,23.715891875251096,4932.905510052229,0.004807692307692306
Cartagena,108,Nurse,29.734603820732534,6809.224274947746,0.004366812227074238
Cartagena,109,GP,47.43178375050219,4932.905510052229,0.009615384615384612
Cartagena,109,Nurse,29.734603820732534,6809.224274947746,0.004366812227074238
Cartagena,110,GP,23.715891875251096,4932.905510052229,0.004807692307692306
Cartagena,110,Nurse,29.734603820732534,6809.224274947746,0.004366812227074238
Cartagena,111,GP,142.29535125150656,4932.905510052229,0.028846153846153837
Cartagena,111,Nurse,208.14222674512774,6809.224274947746,0.03056768558951967
Cartagena,111,Pediatrician,46.495944531658814,1394.8783359497647,0.033333333333333326
Cartagena,112,GP,308.3065943782642,4932.905510052229,0.06249999999999998
Cartagena,112,Nurse,416.2844534902556,6809.224274947746,0.061135371179039354
Cartagena,112,Pediatrician,92.99188906331763,1394.8783359497647,0.06666666666666665
Cartagena,113,GP,71.1476756257533,4932.905510052229,0.01442307692307692
Cartagena,113,Nurse,89.2038114621976,6809.224274947746,0.013100436681222715
Cartagena,113,Pediatrician,23.247972265829407,1394.8783359497647,0.016666666666666663
Cartagena,114,GP,23.715891875251096,4932.905510052229,0.004807692307692306
Cartagena,114,Nurse,29.734603820732534,6809.224274947746,0.004366812227074238
Cartagena,115,GP,23.715891875251096,4932.905510052229,0.004807692307692306
Cartagena,115,Nurse,29.734603820732534,6809.224274947746,0.004366812227074238
Cartagena,116,GP,94.86356750100438,4932.905510052229,0.019230769230769225
Cartagena,116,Nurse,178.4076229243952,6809.224274947746,0.02620087336244543
Cartagena,116,Pediatrician,46.495944531658814,1394.8783359497647,0.033333333333333326
Cartagena,117,GP,118.57945937625547,4932.905510052229,0.02403846153846153
Cartagena,117,Nurse,178.4076229243952,6809.224274947746,0.02620087336244543
Cartagena,117,Pediatrician,46.495944531658814,1394.8783359497647,0.033333333333333326
Cartagena,118,GP,71.1476756257533,4932.905510052229,0.01442307692307692
Cartagena,118,Nurse,89.2038114621976,6809.224274947746,0.013100436681222715
Cartagena,118,Pediatrician,23.247972265829407,1394.8783359497647,0.016666666666666663
Cartagena,119,GP,47.43178375050219,4932.905510052229,0.009615384615384612
Cartagena,119,Nurse,59.46920764146507,6809.224274947746,0.008733624454148476
Cartagena,119,Pediatrician,23.247972265829407,1394.8783359497647,0.016666666666666663
Cartagena,120,GP,23.715891875251096,4932.905510052229,0.004807692307692306
Cartagena,120,Nurse,29.734603820732534,6809.224274947746,0.004366812227074238
Cartagena,121,GP,118.57945937625547,4932.905510052229,0.02403846153846153
